city_id,city_name,region_name,year,days_observed,mean_available_hours,median_available_hours,share_days_ge18,mean_exceedance_share
28,Боярка,Київська область,2020,287,22.26829268292683,24.0,0.9059233449477352,0.02776018019920459
28,Боярка,Київська область,2021,184,23.027173913043477,24.0,0.9347826086956522,0.20371376811594202
28,Боярка,Київська область,2022,187,23.614973262032084,24.0,0.9679144385026738,0.0386030636030636
28,Боярка,Київська область,2023,261,23.95402298850575,24.0,1.0,0.005123069778242192
29,Узин,Київська область,2019,264,23.234848484848484,24.0,0.9659090909090909,0.04779432523997741
29,Узин,Київська область,2020,264,19.651515151515152,24.0,0.7575757575757576,0.0018642305407011288
29,Узин,Київська область,2021,203,21.44334975369458,24.0,0.8423645320197044,0.019504913535135265
29,Узин,Київська область,2022,187,23.235294117647058,24.0,0.946524064171123,0.00267379679144385
29,Узин,Київська область,2023,233,23.72532188841202,24.0,0.9828326180257511,0.000715307582260372
30,Вишневе,Київська область,2019,249,22.329317269076306,24.0,0.9076305220883534,0.10938293178857265
30,Вишневе,Київська область,2020,349,23.487106017191977,24.0,0.9713467048710601,0.27889322400534555
30,Вишневе,Київська область,2021,365,23.915068493150685,24.0,0.9945205479452055,0.2793754622212738
30,Вишневе,Київська область,2022,268,20.880597014925375,24.0,0.7835820895522388,0.09616782746952332
30,Вишневе,Київська область,2023,257,23.59922178988327,24.0,0.9766536964980544,0.04245174284529991
31,Обухів,Київська область,2019,254,21.618110236220474,24.0,0.8582677165354331,0.05339590798337803
31,Обухів,Київська область,2020,360,23.175,24.0,0.9611111111111111,0.11841561344621986
31,Обухів,Київська область,2021,345,23.571014492753623,24.0,0.9768115942028985,0.2024483970136144
31,Обухів,Київська область,2022,288,23.51736111111111,24.0,0.96875,0.15039464170494873
31,Обухів,Київська область,2023,122,20.204918032786885,24.0,0.7950819672131147,0.009562841530054645
33,Запоріжжя,Запорізька область,2019,280,23.667857142857144,24.0,0.9821428571428571,0.4512110775297514
33,Запоріжжя,Запорізька область,2020,366,23.9672131147541,24.0,0.9972677595628415,0.4640058079431691
33,Запоріжжя,Запорізька область,2021,365,23.953424657534246,24.0,0.9945205479452055,0.5422504148445886
33,Запоріжжя,Запорізька область,2022,365,24.008219178082193,24.0,1.0,0.18955918510713032
33,Запоріжжя,Запорізька область,2023,365,23.942465753424656,24.0,1.0,0.2647033149498903
33,Запоріжжя,Запорізька область,2024,366,23.12568306010929,24.0,0.9398907103825137,0.1658374239683558
33,Запоріжжя,Запорізька область,2025,32,23.71875,24.0,0.96875,0.12616131756756757
34,Одеса,Одеська область,2019,270,22.014814814814816,24.0,0.8888888888888888,0.18876446149373566
34,Одеса,Одеська область,2020,366,23.96448087431694,24.0,0.9972677595628415,0.1548020295614736
34,Одеса,Одеська область,2021,365,23.958904109589042,24.0,0.9972602739726028,0.26990169112206036
34,Одеса,Одеська область,2022,365,24.002739726027396,24.0,1.0,0.16069999990500916
34,Одеса,Одеська область,2023,365,23.991780821917807,24.0,1.0,0.06406236705521993
34,Одеса,Одеська область,2024,361,23.770083102493075,24.0,0.9861495844875346,0.06413985368278997
34,Одеса,Одеська область,2025,32,23.1875,24.0,0.9375,0.23941642535392535
35,Кам’янське,Дніпропетровська область,2019,271,23.89667896678967,24.0,0.996309963099631,0.3425962045334739
35,Кам’янське,Дніпропетровська область,2020,366,23.9672131147541,24.0,0.9972677595628415,0.2706924492080251
35,Кам’янське,Дніпропетровська область,2021,365,23.95068493150685,24.0,0.9945205479452055,0.35735471149854714
35,Кам’янське,Дніпропетровська область,2022,364,23.90934065934066,24.0,0.9917582417582418,0.2525281885095409
35,Кам’янське,Дніпропетровська область,2023,100,21.4,24.0,0.86,0.419636021872864
35,Кам’янське,Дніпропетровська область,2024,67,21.46268656716418,24.0,0.8656716417910447,0.28059324589175333
35,Кам’янське,Дніпропетровська область,2025,32,23.71875,24.0,0.96875,0.2668918918918919
40,Новомосковськ,Дніпропетровська область,2019,147,22.551020408163264,24.0,0.9115646258503401,0.5676325703356424
40,Новомосковськ,Дніпропетровська область,2020,366,23.497267759562842,24.0,0.9644808743169399,0.22619620807422158
40,Новомосковськ,Дніпропетровська область,2021,112,23.321428571428573,24.0,0.9464285714285714,0.0
40,Новомосковськ,Дніпропетровська область,2022,9,21.444444444444443,24.0,0.7777777777777778,0.09343434343434343
40,Новомосковськ,Дніпропетровська область,2023,364,19.412087912087912,23.5,0.7115384615384616,0.049758274211812586
40,Новомосковськ,Дніпропетровська область,2024,364,19.626373626373628,24.0,0.717032967032967,0.05284502436640756
43,Миколаївка,Донецька область,2019,251,23.693227091633467,24.0,0.9800796812749004,0.2997351312854008
43,Миколаївка,Донецька область,2020,364,23.755494505494507,24.0,0.9835164835164835,0.25977841861382234
43,Миколаївка,Донецька область,2021,365,23.783561643835615,24.0,0.9917808219178083,0.2156454182996611
43,Миколаївка,Донецька область,2022,91,23.615384615384617,24.0,0.978021978021978,0.21130536130536132
43,Миколаївка,Донецька область,2024,218,22.954128440366972,24.0,0.9403669724770642,0.18715467481664236
43,Миколаївка,Донецька область,2025,32,21.90625,24.0,0.875,0.44508704274329275
45,Курахове,Донецька область,2019,128,23.625,24.0,0.9765625,0.105078125
45,Курахове,Донецька область,2020,366,23.920765027322403,24.0,0.994535519125683,0.1967093061765193
45,Курахове,Донецька область,2021,365,23.797260273972604,24.0,0.989041095890411,0.2887033583064272
45,Курахове,Донецька область,2022,320,23.209375,24.0,0.959375,0.11810391111189292
45,Курахове,Донецька область,2023,145,23.33103448275862,24.0,0.9517241379310345,0.2649106640485951
218,Бровари,Київська область,2019,98,23.540816326530614,24.0,0.9795918367346939,0.545326826382727
218,Бровари,Київська область,2020,366,23.96448087431694,24.0,0.9972677595628415,0.32952506173639456
218,Бровари,Київська область,2021,365,23.953424657534246,24.0,0.9945205479452055,0.4215911346941722
218,Бровари,Київська область,2022,365,23.983561643835618,24.0,1.0,0.18040684945390126
218,Бровари,Київська область,2023,365,23.980821917808218,24.0,1.0,0.25015855397332465
218,Бровари,Київська область,2024,366,23.969945355191257,24.0,1.0,0.3380160535466834
218,Бровари,Київська область,2025,32,23.71875,24.0,0.96875,0.5680602477477478
219,Харків,Харківська область,2019,238,23.50420168067227,24.0,0.9663865546218487,0.30125889932856525
219,Харків,Харківська область,2020,366,23.96448087431694,24.0,0.9972677595628415,0.3546876642404084
219,Харків,Харківська область,2021,365,23.956164383561642,24.0,0.9972602739726028,0.3836409298464093
219,Харків,Харківська область,2022,365,23.87945205479452,24.0,0.9945205479452055,0.1477942452762991
219,Харків,Харківська область,2023,365,23.86849315068493,24.0,0.9945205479452055,0.042231577237533166
219,Харків,Харківська область,2024,365,23.87945205479452,24.0,0.9945205479452055,0.05130870347308704
219,Харків,Харківська область,2025,32,23.71875,24.0,0.96875,0.12369791666666666
224,Шепетівка,Хмельницька область,2019,232,21.68103448275862,24.0,0.853448275862069,0.24026660879525322
224,Шепетівка,Хмельницька область,2020,344,22.578488372093023,24.0,0.9098837209302325,0.1602633682600782
224,Шепетівка,Хмельницька область,2021,294,23.231292517006803,24.0,0.95578231292517,0.17911682977846055
224,Шепетівка,Хмельницька область,2022,340,23.355882352941176,24.0,0.9588235294117647,0.11877273026849014
224,Шепетівка,Хмельницька область,2024,100,23.36,24.0,0.96,0.22421213818860877
